연번,업소명,업소도로명주소,지정일자
190,큐엘와이 프레쉬(QLY Fresh),대전광역시 서구 한밭대로 지하 595. 월평역 지하1층 (월평동),2017-12-11
191,정림스토아 내동점,대전광역시 서구 신갈마로 46. 상가동 지하층 1호 (내동. 롯데아파트),2017-12-04
192,이마트24 대전괴정베스트점,대전광역시 서구 가장로 36. 1층 (괴정동),2017-12-04
193,빅마트,대전광역시 서구 가수원로 72. 나동 지하층 1호 (가수원동),2017-11-28
194,(주)정림스토아 정림점,대전광역시 서구 정림로 56-10. 지하층 (정림동. 정림프라자),2017-11-28
195,씨유 대전만년강변점,대전광역시 서구 만년로 25. 101호102호 (만년동. 강변아파트),2017-11-23
196,지에스25 갈마중문,대전광역시 서구 계룡로320번길 40. 1층 101호 (갈마동. 사랑아트빌라),2017-11-23
197,세븐일레븐 대전월평진달래점,대전광역시 서구 월평동로 45. 1층 (월평동. 진달래아파트),2017-11-21
198,이마트24 대전건양타워점,대전광역시 서구 관저동로 170. 115호 (관저동. 건양타워),2017-11-13
199,웰마트,대전광역시 서구 괴정로 72. 1층 (괴정동. kt괴정빌딩),2017-11-10
200,지에스25 둔산제일,대전광역시 서구 대덕대로249번길 30. 1층 105호 (둔산동),2017-11-07
201,씨유 대전도마태양점,대전광역시 서구 계백로 1401. 1층 (도마동),2017-11-06
202,블루오션텔레콤,대전광역시 서구 동서대로 981. 1층 101호 (내동),2017-11-01
203,래미안마트,대전광역시 서구 가장로 106. 달리상가동 1층 112호 (가장동. 삼성 래미안아파트),2017-10-27
204,파트너상사 서구청점,대전광역시 서구 둔산서로 100. 지하1층 (둔산동. 서구청),2017-10-20
205,뻐꾸기 복사,대전광역시 서구 계백로 1386 (도마동),2017-10-17
206,씨유(CU) 월평사랑점,대전광역시 서구 월평북로 27. 101호 (월평동),2017-10-13
207,씨유 대전월평타운점,대전광역시 서구 계룡로251번길 38. 1층 (월평동),2017-10-13
208,지에스25 괴정엘림점,대전광역시 서구 도솔로 303. 1층 (괴정동),2017-10-10
209,이마트24 대전관저타운점,대전광역시 서구 구봉산북로21번길 47. 1층 102호 (관저동),2017-09-29
210,지에스(GS)25 둔산햇님,대전광역시 서구 둔산북로 175. 상가동 111호 (둔산동. 햇님아파트),2017-09-28
211,미니스톱 대전도마점,대전광역시 서구 도산로 102 (도마동),2017-09-28
212,지에스25월평타운점,대전광역시 서구 월평서로6번길 26. 1층 (월평동),2017-09-27
213,씨유 대전내동스타점,대전광역시 서구 동서대로 957. 1층 (내동),2017-09-27
214,참조은마트,대전광역시 서구 가수원로 43 (가수원동. 규장각학원),2017-09-26
215,금실침구,대전광역시 서구 계룡로 661 (용문동),2017-09-26
216,시가통 내동점(전자),대전광역시 서구 동서대로 1030. 1층 103호 (내동),2017-09-25
217,이마트24 대전둔산시티점,대전광역시 서구 둔산남로91번길 16. 1층 (둔산동),2017-09-21
218,배재직판장,대전광역시 서구 배재로91번길 34. 2층 201호 (도마동),2017-09-18
219,더(THE)좋은마트,대전광역시 서구 계룡로629번길 42. 1층 (탄방동. 블루밍),2017-09-12
220,이마트24 대전관저느리울점,대전광역시 서구 관저동로90번길 47. 제분산상가동 1층 101호 (관저동. 느리울마을아파트11단지),2017-09-12
221,씨유 관저어반힐스점,대전광역시 서구 관저남로 80. 103.104호 (관저동),2017-09-08
222,송방마트,대전광역시 서구 도산로 11. 상가동 B7호 (도마동. 효성타운),2017-09-08
223,이마트24 월평중앙점,대전광역시 서구 계룡로231번길 9. 1층 (월평동),2017-09-05
224,씨앤와이(CNY명성),대전광역시 서구 둔산중로 19. 220호 (탄방동. 샤크존),2017-09-04
225,아이스크림할인점,대전광역시 서구 관저중로 98. 1층 7-3호 (관저동. 리틀파워존),2017-09-04
226,씨유 둔산소망점,대전광역시 서구 둔산로51번길 16. 1층 (둔산동),2017-09-01
227,관저더삽베스트공인중개사사무소,대전광역시 서구 계백로860번길 72. 1층 101호 (관저동. 코끼리),2017-09-01
228,드림마트,대전광역시 서구 계백로1158번길 100. 1층 (가수원동),2017-08-25
229,이마트24 R대전도안우미린점,대전광역시 서구 도안동로 77. 1층 101호 (가수원동),2017-08-24
230,정마트,대전광역시 서구 도산로 379 (용문동),2017-08-21
231,세븐일레븐 대전도안삼거리점,대전광역시 서구 원도안로241번길 8-34. 1층 101호 (도안동),2017-08-11
232,아이디어대전둔산,대전광역시 서구 둔지로 36. 102호 (둔산동),2017-08-11
233,CU 대전복수미르점,대전광역시 서구 복수동로 39-26. 상가동 1층 106호 (복수동. 초록마을3단지),2017-08-10
234,미니스톱 월평사랑점,대전광역시 서구 월평중로14번길 48. 1층 (월평동),2017-08-10
235,대전 전자담배,대전광역시 서구 대덕대로175번길 46. 1동 102호 (둔산동. 이노빌),2017-08-09
236,세븐일레븐 대전관저하늘점,대전광역시 서구 관저남로25번길 8-4 (관저동),2017-08-09
237,서부농협갈마지점,대전광역시 서구 계룡로 349 (갈마동),2017-07-31
238,탑플러스마트,대전광역시 서구 괴정로 168. 1층 103.104.105호 (가장동),2017-07-31
239,원앙하이퍼마켓,대전광역시 서구 관저북로 18. 상가동 111호 (관저동),2017-07-21
240,씨유 월평선사점,대전광역시 서구 청사로123번길 34. 1층 103호 (월평동),2017-07-26
241,CS텔레콤,대전광역시 서구 둔산북로 22. 1층 150호 (둔산동. 둔산라이프종합상가),2017-07-26
242,지에스25괴정힐링점,대전광역시 서구 가장로 51 (괴정동),2017-07-25
243,씨유 대전정림점,대전광역시 서구 정림동로 11. 1층 (정림동),2017-07-19
244,지에스25갈마하늘점,대전광역시 서구 계룡로342번길 122 (갈마동),2017-07-17
245,지에스25갈마으뜸점,대전광역시 서구 계룡로354번길 31 (갈마동),2017-07-17
246,씨유 대전관저원앙점,대전광역시 서구 관저북로13번길 5. 104호 (관저동. 대주프라자),2017-07-17
247,(주)코리아세븐 대전둔산한사랑점,대전광역시 서구 문예로 63. 1층 (둔산동. 행촌회관),2017-06-26
248,씨유 둔산을지점,대전광역시 서구 둔산로65번길 81. 103호 (둔산동),2017-06-23
249,금빛호수공인중개사사무소,대전광역시 서구 원도안로224번길 47-32. 1층 (도안동),2017-06-21
250,(주)코리아세븐 대전괴정원룸점,대전광역시 서구 도솔로328번길 24. 1층 (괴정동),2017-06-19
251,미니스톱 월평드림점,대전광역시 서구 월평로 40. 1층 105호 (월평동. 월드프라자),2017-06-19
252,세븐일레븐 대전럭키타운점,대전광역시 서구 도안동로11번길 25. 1층 118호 (가수원동. 럭키프라자),2017-06-19
253,이마트 24 둔산중앙점,대전광역시 서구 대덕대로185번길 62. 1층 106호 (둔산동. 더하임),2017-06-14
254,(주)코리아세븐 대전둔산카페점,대전광역시 서구 대덕대로249번길 15. 1층 (둔산동. 주차빌딩),2017-06-14
255,지에스25괴정스마트점,대전광역시 서구 괴정로76번길 23. 1층 (괴정동),2017-06-14
256,씨유 만년새천년점,대전광역시 서구 만년남로3번길 25 (만년동),2017-06-02
257,관저스카이공인중개사사무소,대전광역시 서구 관저남로83번길 3. 1층 102호 (관저동),2017-06-02
258,서부농협변동지점,대전광역시 서구 도산로 195 (변동),2017-06-02
259,씨유 둔산법원점,대전광역시 서구 둔산로137번길 36. 1층 (둔산동),2017-05-24
260,목화마트,대전광역시 서구 복수서로 50. B상가동 115.116호 (복수동. 삼익목화아파트),2017-05-18
261,지에스25목원대스타점,대전광역시 서구 도안북로117번길 18 (도안동),2017-05-18
262,지에스25월평스타점,대전광역시 서구 청사로 128. 1층 105호 (월평동),2017-05-18
263,CU대전도마복음점,대전광역시 서구 배재로 117. 상가동 101호 (도마동. 복음로얄아파트),2017-05-15
