"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",구봉초등학교,대전광역시 서구 관저로75,,36.299795,127.3300549168,대전광역시 서구청,서부경찰서,Y,2,25~30,2020-02-10
"초등학교",선암초등학교,대전광역시 서구 관저중로61,,36.297492,127.3340398581,대전광역시 서구청,서부경찰서,N,0,35~40,2020-02-10
"초등학교",수미초등학교,대전광역시 서구 괴곡길42,,36.29528642,127.3615412,대전광역시 서구청,서부경찰서,Y,2,8~10,2020-02-10
"초등학교",원앙초등학교,대전광역시 서구 관저북로 97,,36.3115393834,127.3371329896,대전광역시 서구청,서부경찰서,Y,1,25,2020-02-10
"초등학교",유천초등학교,대전광역시 서구 제비네6길 69,,36.3152385339,127.3755926356,대전광역시 서구청,서부경찰서,Y,2,6~15,2020-02-10
"초등학교",느리울초등학교,대전광역시 서구 관저로196,,36.2988881145,127.3442526709,대전광역시 서구청,서부경찰서,Y,3,25,2020-02-10
"유치원",한양유치원,대전광역시 서구 계룡로571번길 65,,36.3456323587,127.3872346952,대전광역시 서구청,둔산경찰서,Y,1,10~20,2020-02-10
"유치원",명화유치원,대전광역시 서구 조달청길 180,,36.3189130897,127.381997,대전광역시 서구청,서부경찰서,Y,1,10,2020-02-10
"유치원",무지개유치원,대전광역시 서구 도솔로 173,,36.3261165950,127.373644,대전광역시 서구청,서부경찰서,Y,1,6~12,2020-02-10
"유치원",옥토유치원,대전광역시 서구 정림로 11,,36.3023021675,127.3659735880,대전광역시 서구청,서부경찰서,Y,2,6~8,2020-02-10
"유치원",느리울유치원,대전광역시 서구 구봉로 147번길 64,,36.299256,127.338673,대전광역시 서구청,서부경찰서,Y,1,10~25,2020-02-10
"유치원",행복한유치원,대전광역시 서구 복수서로 10,,36.3052781355,127.373487,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"유치원",하이캠유치원,대전광역시 서구 계룡로325번길 16,,36.355112,127.3654944172,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"초등학교",길헌분교,대전광역시 서구 당고개길 48,,36.241794,127.3163407487,대전광역시 서구청,서부경찰서,Y,1,8,2020-02-10
"초등학교",신계초등학교,대전광역시 서구 복수동로 26,,36.3019293533,127.378058,대전광역시 서구청,서부경찰서,Y,2,8~25,2020-02-10
"어린이집",다예린어린이집,대전광역시 서구 도솔로 267번길 8,,36.3337524960,127.3789738791,대전광역시 서구청,서부경찰서,Y,1,6~10,2020-02-10
"유치원",예림유치원,대전광역시 서구 탄방로 65,,36.3425635837,127.3931143859,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"유치원",다모아유치원,대전광역시 서구 월평동로 83,,36.362017,127.3661059186,대전광역시 서구청,둔산경찰서,Y,1,20,2020-02-10
"유치원",은아유치원,대전광역시 서구 가수원로 72,,36.3023291449,127.3521904112,대전광역시 서구청,서부경찰서,Y,1,15,2020-02-10
"유치원",평화유치원,대전광역시 서구 월평중로13번길 53,,36.3555236388,127.360709,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"어린이집",돌샘어린이집,대전광역시 서구 계백로1300번길 124,,36.303071,127.369258,대전광역시 서구청,서부경찰서,Y,2,8,2020-02-10
"어린이집",대전시립어린이집,대전광역시 서구 신갈마로195번길 51,,36.3506516478,127.364982,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"어린이집",물댄동산어린이집,대전광역시 서구 계룡로416번길 28,,36.348895,127.372887,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"어린이집",둔산큰별어린이집,대전광역시 서구 도솔로 454,,36.343706,127.394233,대전광역시 서구청,둔산경찰서,Y,1,15,2020-02-10
"어린이집",푸르니어린이집,대전광역시 서구 정림로10번길 41,,36.302331,127.3684144,대전광역시 서구청,서부경찰서,Y,1,8,2020-02-10
"어린이집",키즈아일랜드어린이집,대전광역시 서구 유등로17번길 78,,36.2974046928,127.375997,대전광역시 서구청,서부경찰서,Y,1,15,2020-02-10
"어린이집",소야어린이집,대전광역시 서구 유등로43번길 6-13,,36.297945,127.380978,대전광역시 서구청,서부경찰서,Y,1,8,2020-02-10
"어린이집",별나라어린이집,대전광역시 서구 계룡로354번길20,,36.352729,127.367269,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"어린이집",다원어린이집,대전광역시 서구 계백로1300번길 30,,36.307042,127.367473,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"어린이집",예뻐뽀어린이집,대전광역시 서구 복수동로87번길 29-9,,36.296261,127.379241,대전광역시 서구청,서부경찰서,Y,1,8,2020-02-10
"초등학교",도안초등학교,대전광역시 서구 원도안로 200,,36.3218748290,127.3444740088,대전광역시 서구청,둔산경찰서,N,0,15~20,2020-02-10
"어린이집",달이어린이집,대전광역시 서구 가장로 132,,36.3320530285,127.3873590510,대전광역시 서구청,서부경찰서,Y,1,15,2020-02-10
"어린이집",EBS하늘어린이집,대전광역시 서구 들말2길 55,,36.3301210023,127.383981,대전광역시 서구청,서부경찰서,Y,1,6,2020-02-10
"유치원",동산유치원,대전광역시 서구 계룡로394번길 9,,36.350641,127.371432,대전광역시 서구청,둔산경찰서,Y,1,10,2020-02-10
"유치원",산새소리유치원,대전광역시 서구 갈마로183번길 41,,36.339564,127.378026,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"유치원",대자연유치원,대전광역시 서구 관저동 원앙마을2길 34,,36.294499,127.332929,대전광역시 서구청,서부경찰서,Y,1,25,2020-02-10
"유치원",우정유치원,대전광역시 서구 관저서로 47,,36.2966005952,127.329621,대전광역시 서구청,서부경찰서,Y,1,30~35,2020-02-10
"유치원",밝은빛유치원,대전광역시 서구 가수원로65번길 44,,36.298455,127.350908,대전광역시 서구청,서부경찰서,Y,1,6,2020-02-10
"유치원",나은유치원,대전광역시 서구 관저북로92,,36.3099636461,127.3372999058,대전광역시 서구청,서부경찰서,Y,1,20,2020-02-10
"유치원",나래유치원,대전광역시 서구 정림로 55,,36.3045722743,127.3650801268,대전광역시 서구청,서부경찰서,Y,1,25,2020-02-10
"유치원",구봉사랑유치원,대전광역시 서구 관저서로 70,,36.298644,127.3296986376,대전광역시 서구청,서부경찰서,N,0,25~30,2020-02-10
"유치원",도담유치원,대전광역시 서구 정림서로138번길 21,,36.3003371483,127.3637555732,대전광역시 서구청,서부경찰서,N,0,6,2020-02-10
"유치원",혜천대부속유치원,대전광역시 서구 혜천로 100,,36.3017851449,127.3757686017,대전광역시 서구청,서부경찰서,N,0,25,2020-02-10
"유치원",맑은물유치원,대전광역시 서구 신갈마로 102,,36.3431361527,127.3695731933,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"유치원",만년유치원,대전광역시 서구 만년남로11번길 50,,36.3664161976,127.373912,대전광역시 서구청,둔산경찰서,Y,1,8~10,2020-02-10
"유치원",녹원유치원,대전광역시 서구 둔산남로 30,,36.3484231742,127.3813888358,대전광역시 서구청,둔산경찰서,Y,1,12,2020-02-10
"유치원",은새유치원,대전광역시 서구 문정로90번길 60,,36.3457957009,127.3879974594,대전광역시 서구청,둔산경찰서,Y,1,10~20,2020-02-10
"어린이집",삼성어린이집,대전광역시 서구 용화5길 63,,36.321405,127.375542,대전광역시 서구청,서부경찰서,Y,1,6,2020-02-10
"어린이집",새싹어린이집,대전광역시 서구 용문로 113,,36.334418,127.393812,대전광역시 서구청,서부경찰서,Y,1,15,2020-02-10
"어린이집",서구그린어린이집,대전광역시 서구 갈마중로8번길 23,,36.3465143080,127.370567,대전광역시 서구청,둔산경찰서,Y,1,8,2020-02-10
"어린이집",행복한어린이집,대전광역시 서구 오량4길 55,,36.309006,127.377565,대전광역시 서구청,서부경찰서,Y,1,6,2020-02-10
